0.097242	0.097242	1-100 
0.228988	0.228988	1-100
0.493527	0.493527	2-100
0.627365	0.627365	2-100
0.761203	0.761203	2-100
0.888767	0.888767	4-100
1.023651	1.023651	5-100
1.152260	1.152260	5-100
1.286098	1.286098	5-100-LIN
1.413662	2.206240	2-100
1.413662	1.536383	4-100-0-EXP
1.938593	2.093858	3-100-0-EXP
2.206240	2.987914	1-100-100
2.460579	2.583300	4-100-0-EXP
2.987914	3.516207	5-100-100
2.988480	3.143745	3-100-0-EXP
3.516207	4.304817	1-100-100
3.516893	3.639614	4-100-0-EXP
4.044794	4.200059	3-100-0-EXP
4.304817	5.104912	2-100-100
4.577595	4.700316	4-100-0-EXP
5.105496	5.260760	3-100-0-EXP
5.156878	5.156878	2-100
5.156878	5.156878	1-100
5.253619	5.253619	5-100
5.353774	5.353774	2-100
5.353774	5.353774	1-100
5.533599	6.420544	1-100-100
5.633909	5.756630	4-100-0-EXP
6.161810	6.317075	3-100-0-EXP
6.420544	7.215759	2-100-100
6.687731	6.810452	4-100-0-EXP
7.215667	8.271946	5-100-100
7.215759	7.370896	3-100-0-EXP
7.744045	7.866766	4-100-0-EXP
8.271946	8.927510	5-100-0
8.271946	8.427211	3-100-0-EXP
8.804747	8.927467	4-100-0-EXP
9.062869	9.062869	5-100
9.222579	9.222579	5-100
9.332647	9.332647	1-100
9.332647	9.487912	3-100-0-EXP
9.487912	9.487912	2-100
9.612380	9.612380	1-100
9.735546	9.735546	2-100
9.861061	9.983782	4-100-0-EXP
9.983782	10.642374	2-100
10.388961	10.544226	3-100-0-EXP
10.642374	11.442892	1-100
10.914214	11.036935	4-100-0-EXP
11.442115	11.597380	3-100-0-EXP
11.444806	11.701296	5-100
11.701296	12.759795	1-100
11.970528	12.093249	4-100-0-EXP
12.498429	12.653694	3-100-0-EXP
12.759795	13.559890	2-100
13.031230	13.153951	4-100-0-EXP
13.559131	13.714395	3-100-0-EXP
13.560561	13.560561	2-100
13.560561	13.560561	1-100
13.661964	13.661964	5-100
13.814067	13.814067	2-100
13.814067	13.814067	1-100
13.948976	14.868724	2-100
14.087544	14.210265	4-100-0-EXP
14.615445	14.770710	3-100-0-EXP
14.868724	15.662977	1-100
15.134811	15.257532	4-100-0-EXP
15.662712	15.817976	3-100-0-EXP
15.664115	16.719164	5-100
16.191125	16.313846	4-100-0-EXP
16.719026	16.874291	3-100-0-EXP
16.720302	17.374728	5-100-0
17.255224	17.374547	4-100-0-EXP
17.779727	17.934992	3-100-0-EXP
18.306479	18.306479	END
