0.000000	0.000000	LABEL_VERSION=1
0.000000	0.000000	PHONE_MODEL=PHONE1
0.000000	0.500000	1-100
0.500000	1.000000	2-100
1.000000	1.500000	3.1-100
1.500000	2.000000	3.2-100
2.000000	2.500000	3.3-100
2.500000	3.000000	3.4-100
3.000000	3.500000	3-100
3.500000	4.000000	4.1-100
4.000000	4.500000	4.2-100
4.500000	5.000000	4.3-100
5.000000	5.500000	4.4-100
5.500000	6.000000	4.5-100
6.000000	6.500000	4.6-100
6.500000	7.000000	4.7-100
7.000000	7.500000	4.8-100
7.500000	8.000000	4-100
8.000000	8.500000	5-100
9.000000	9.000000	END
