0.000000	0.000000	LABEL_VERSION=1
0.000000	0.000000	PHONE_MODEL=PHONE2
0.000000	0.500000	1-100
0.500000	1.000000	2-100
1.000000	1.500000	3-100
1.500000	2.000000	4.1-100
2.000000	2.500000	4.2-100
2.500000	3.000000	4.3-100
3.000000	3.500000	4.4-100
3.500000	4.000000	4.5-100
4.000000	4.500000	4.6-100
4.500000	5.000000	4.7-100
5.000000	5.500000	4.8-100
5.500000	6.000000	4.9-100
6.000000	6.500000	4.10-100
6.500000	7.000000	4.11-100
7.000000	7.500000	4.12-100
7.500000	8.000000	4.13-100
8.000000	8.500000	4.14-100
8.500000	9.000000	4.15-100
9.000000	9.500000	4.16-100
9.500000	10.000000	4-100
10.000000	10.500000	5-100
10.500000	11.000000	6-100
11.000000	11.500000	7-100
11.500000	12.000000	8-100
12.000000	12.500000	9-100
12.500000	13.000000	10.1-100
13.000000	13.500000	10.2-100
13.500000	14.000000	10.3-100
14.000000	14.500000	10.4-100
14.500000	15.000000	10.5-100
15.000000	15.500000	10.6-100
15.500000	16.000000	10.7-100
16.000000	16.500000	10.8-100
16.500000	17.000000	10-100
17.000000	17.500000	11-100
18.000000	18.000000	END
