0.000000	0.000000	LABEL_VERSION=1
0.000000	0.000000	PHONE_MODEL=PHONE2A
0.000000	0.500000	1.1-100
0.500000	1.000000	1.2-100
1.000000	1.500000	1.3-100
1.500000	2.000000	1.4-100
2.000000	2.500000	1.5-100
2.500000	3.000000	1.6-100
3.000000	3.500000	1.7-100
3.500000	4.000000	1.8-100
4.000000	4.500000	1.9-100
4.500000	5.000000	1.10-100
5.000000	5.500000	1.11-100
5.500000	6.000000	1.12-100
6.000000	6.500000	1.13-100
6.500000	7.000000	1.14-100
7.000000	7.500000	1.15-100
7.500000	8.000000	1.16-100
8.000000	8.500000	1.17-100
8.500000	9.000000	1.18-100
9.000000	9.500000	1.19-100
9.500000	10.000000	1.20-100
10.000000	10.500000	1.21-100
10.500000	11.000000	1.22-100
11.000000	11.500000	1.23-100
11.500000	12.000000	1.24-100
12.000000	12.500000	1-100
12.500000	13.000000	2-100
13.000000	13.500000	3-100
14.000000	14.000000	END
